I,time,atemp,cad,hr,lat,lon
164,2020-05-31T17:53:10.000Z,22.0,72,145,43.71948726475238800048828125,-79.3540671654045581817626953125
165,2020-05-31T17:53:15.000Z,22.0,80,143,43.71948600746691226959228515625,-79.35398711822926998138427734375
166,2020-05-31T17:53:18.000Z,22.0,81,143,43.7194798886775970458984375,-79.353795759379863739013671875
167,2020-05-31T17:53:25.000Z,22.0,83,144,43.7195058725774288177490234375,-79.353734739124774932861328125
168,2020-05-31T17:53:28.000Z,22.0,83,144,43.719509728252887725830078125,-79.35369743965566158294677734375
169,2020-05-31T17:53:31.000Z,22.0,83,144,43.7195316888391971588134765625,-79.353681765496730804443359375
170,2020-05-31T17:53:36.000Z,22.0,0,144,43.71953411959111690521240234375,-79.35367933474481105804443359375
171,2020-05-31T17:53:37.000Z,22.0,0,144,43.719572760164737701416015625,-79.35369207523763179779052734375
172,2020-05-31T17:53:40.000Z,22.0,81,144,43.71960855089128017425537109375,-79.35376147739589214324951171875
173,2020-05-31T17:53:45.000Z,22.0,87,147,43.71961559168994426727294921875,-79.3538002856075763702392578125
174,2020-05-31T17:53:48.000Z,22.0,88,148,43.71960637159645557403564453125,-79.35384127311408519744873046875
175,2020-05-31T17:53:50.000Z,22.0,88,148,43.71958793140947818756103515625,-79.35385979712009429931640625
176,2020-05-31T17:53:52.000Z,22.0,86,147,43.71946044266223907470703125,-79.35382283292710781097412109375
177,2020-05-31T17:54:28.000Z,22.0,59,132,43.71945013292133808135986328125,-79.3538844399154186248779296875
178,2020-05-31T17:54:31.000Z,22.0,59,129,43.7194679863750934600830078125,-79.3539722822606563568115234375
179,2020-05-31T17:54:35.000Z,22.0,84,127,43.71947594918310642242431640625,-79.3540373258292675018310546875
180,2020-05-31T17:54:38.000Z,22.0,82,123,43.719477541744709014892578125,-79.35405903495848178863525390625
181,2020-05-31T17:54:39.000Z,22.0,82,124,43.7194763682782649993896484375,-79.35408149845898151397705078125
182,2020-05-31T17:54:40.000Z,22.0,81,127,43.71947142295539379119873046875,-79.35410077683627605438232421875
183,2020-05-31T17:54:41.000Z,22.0,80,130,43.71946572326123714447021484375,-79.35412240214645862579345703125
184,2020-05-31T17:54:42.000Z,21.0,79,133,43.719466812908649444580078125,-79.3541516549885272979736328125
185,2020-05-31T17:54:43.000Z,21.0,79,136,43.71946538798511028289794921875,-79.35421393252909183502197265625
186,2020-05-31T17:54:46.000Z,21.0,79,140,43.719459436833858489990234375,-79.354236312210559844970703125
187,2020-05-31T17:54:47.000Z,21.0,79,140,43.71945600025355815887451171875,-79.354260452091693878173828125
188,2020-05-31T17:54:48.000Z,21.0,86,143,43.7194423377513885498046875,-79.35429976321756839752197265625
189,2020-05-31T17:54:50.000Z,21.0,86,144,43.719424568116664886474609375,-79.35433044098317623138427734375
190,2020-05-31T17:54:52.000Z,21.0,90,141,43.71938928030431270599365234375,-79.3543692491948604583740234375
191,2020-05-31T17:54:55.000Z,21.0,89,137,43.7193248234689235687255859375,-79.354406632483005523681640625
192,2020-05-31T17:54:59.000Z,21.0,88,139,43.71930764056742191314697265625,-79.354411996901035308837890625
193,2020-05-31T17:55:00.000Z,21.0,88,142,43.7192959897220134735107421875,-79.35442037880420684814453125
194,2020-05-31T17:55:01.000Z,21.0,88,146,43.71927092783153057098388671875,-79.35441576875746250152587890625
195,2020-05-31T17:55:03.000Z,21.0,88,148,43.7192490510642528533935546875,-79.3544027768075466156005859375
196,2020-05-31T17:55:05.000Z,21.0,83,146,43.71920437552034854888916015625,-79.35438676737248897552490234375
197,2020-05-31T17:55:08.000Z,21.0,79,143,43.7191990949213504791259765625,-79.354372434318065643310546875
198,2020-05-31T17:55:09.000Z,21.0,81,140,43.71919029392302036285400390625,-79.35435709543526172637939453125
199,2020-05-31T17:55:10.000Z,21.0,81,138,43.71913195587694644927978515625,-79.3542810715734958648681640625
200,2020-05-31T17:55:14.000Z,21.0,83,137,43.7190951593220233917236328125,-79.35424746014177799224853515625
201,2020-05-31T17:55:17.000Z,21.0,84,141,43.7190462090075016021728515625,-79.35421225614845752716064453125
202,2020-05-31T17:55:20.000Z,21.0,86,140,43.71901988983154296875,-79.35419465415179729461669921875
203,2020-05-31T17:55:21.000Z,21.0,88,136,43.71899030171334743499755859375,-79.35417587868869304656982421875
204,2020-05-31T17:55:22.000Z,21.0,88,139,43.718817047774791717529296875,-79.35401804745197296142578125
205,2020-05-31T17:55:29.000Z,21.0,89,140,43.718652091920375823974609375,-79.35391168110072612762451171875
206,2020-05-31T17:55:37.000Z,21.0,87,142,43.71854639612138271331787109375,-79.35383892618119716644287109375
207,2020-05-31T17:55:41.000Z,21.0,86,143,43.71838496066629886627197265625,-79.35370246879756450653076171875
208,2020-05-31T17:55:48.000Z,21.0,83,146,43.718283958733081817626953125,-79.35363055206835269927978515625
209,2020-05-31T17:55:52.000Z,21.0,85,148,43.71826929040253162384033203125,-79.35362384654581546783447265625
210,2020-05-31T17:55:53.000Z,21.0,85,146,43.71823207475244998931884765625,-79.35361328534781932830810546875
211,2020-05-31T17:55:55.000Z,21.0,87,151,43.71818982996046543121337890625,-79.3535971082746982574462890625
212,2020-05-31T17:55:57.000Z,21.0,89,154,43.7181468307971954345703125,-79.35357254929840564727783203125
213,2020-05-31T17:55:59.000Z,21.0,89,158,43.7181218527257442474365234375,-79.35351588763296604156494140625
214,2020-05-31T17:56:02.000Z,21.0,59,161,43.71812243945896625518798828125,-79.35350314714014530181884765625
215,2020-05-31T17:56:03.000Z,21.0,86,161,43.71815596707165241241455078125,-79.3534794263541698455810546875
216,2020-05-31T17:56:07.000Z,21.0,0,159,43.7181332521140575408935546875,-79.35346710495650768280029296875
217,2020-05-31T17:56:09.000Z,21.0,0,156,43.7181071005761623382568359375,-79.353382699191570281982421875
218,2020-05-31T17:56:13.000Z,21.0,0,156,43.71810466982424259185791015625,-79.3533513508737087249755859375
