I,time,atemp,cad,hr,lat,lon
405,2020-05-28T01:39:50.000Z,25.0,80,132,43.726171664893627166748046875,-79.35812660492956638336181640625
406,2020-05-28T01:39:57.000Z,25.0,79,134,43.72610670514404773712158203125,-79.35836029238998889923095703125
407,2020-05-28T01:40:07.000Z,25.0,79,134,43.72607988305389881134033203125,-79.3585306964814662933349609375
408,2020-05-28T01:40:14.000Z,25.0,79,135,43.72605825774371623992919921875,-79.35859850607812404632568359375
409,2020-05-28T01:40:17.000Z,25.0,80,132,43.72604082338511943817138671875,-79.35869908891618251800537109375
410,2020-05-28T01:40:22.000Z,25.0,80,132,43.7260407395660877227783203125,-79.358719289302825927734375
411,2020-05-28T01:40:23.000Z,25.0,80,132,43.72599162161350250244140625,-79.35898407362401485443115234375
412,2020-05-28T01:40:32.000Z,25.0,80,133,43.7259176932275295257568359375,-79.35922597534954547882080078125
413,2020-05-28T01:40:40.000Z,25.0,81,133,43.72587720863521099090576171875,-79.359476007521152496337890625
414,2020-05-28T01:40:48.000Z,25.0,80,131,43.7258434295654296875,-79.35972712934017181396484375
415,2020-05-28T01:40:56.000Z,25.0,79,132,43.72580948285758495330810546875,-79.3599311448633670806884765625
416,2020-05-28T01:41:03.000Z,25.0,80,132,43.72576103545725345611572265625,-79.36009735800325870513916015625
417,2020-05-28T01:41:09.000Z,25.0,79,130,43.72572381980717182159423828125,-79.36033037491142749786376953125
418,2020-05-28T01:41:17.000Z,25.0,81,130,43.7256387434899806976318359375,-79.3605212308466434478759765625
419,2020-05-28T01:41:23.000Z,25.0,82,129,43.72557646594941616058349609375,-79.3607609532773494720458984375
420,2020-05-28T01:41:31.000Z,25.0,81,128,43.7255703471601009368896484375,-79.360797666013240814208984375
421,2020-05-28T01:41:32.000Z,25.0,82,124,43.7255586124956607818603515625,-79.36086463741958141326904296875
422,2020-05-28T01:41:34.000Z,25.0,82,126,43.725512512028217315673828125,-79.36110385693609714508056640625
423,2020-05-28T01:41:43.000Z,25.0,81,126,43.72544419951736927032470703125,-79.36135363765060901641845703125
424,2020-05-28T01:41:52.000Z,25.0,81,125,43.72542190365493297576904296875,-79.36150048859417438507080078125
425,2020-05-28T01:41:57.000Z,25.0,81,121,43.72540824115276336669921875,-79.3615637719631195068359375
426,2020-05-28T01:41:59.000Z,25.0,81,121,43.725358955562114715576171875,-79.361829645931720733642578125
427,2020-05-28T01:42:08.000Z,25.0,81,122,43.725328110158443450927734375,-79.36197909526526927947998046875
428,2020-05-28T01:42:13.000Z,25.0,81,123,43.7252930738031864166259765625,-79.362126030027866363525390625
429,2020-05-28T01:42:18.000Z,25.0,81,124,43.72528041712939739227294921875,-79.36199418269097805023193359375
430,2020-05-28T01:42:24.000Z,25.0,76,124,43.72528209351003170013427734375,-79.36172135174274444580078125
