I,Time,AltitudeM,DistanceM,hr,Speed,RunCadence,lat,lon
186,2020-05-03T17:55:22.000Z,-2.4000000953674316,1403.27001953125,133,2.3889999389648438,91,43.721137829124927520751953125,-79.35254459269344806671142578125
187,2020-05-03T17:55:31.000Z,-2.200000047683716,1423.3599853515625,133,2.305000066757202,95,43.72103464789688587188720703125,-79.35244618915021419525146484375
188,2020-05-03T17:55:39.000Z,-1.399999976158142,1444.56005859375,135,2.378999948501587,93,43.72101805172860622406005859375,-79.3524199537932872772216796875
189,2020-05-03T17:55:40.000Z,-1.2000000476837158,1446.989990234375,135,2.3889999389648438,93,43.72091419994831085205078125,-79.35228676535189151763916015625
190,2020-05-03T17:55:47.000Z,-2.200000047683716,1462.989990234375,132,2.3610000610351562,89,43.72087455354630947113037109375,-79.35224787332117557525634765625
191,2020-05-03T17:55:48.000Z,-2.200000047683716,1465.550048828125,131,2.3610000610351562,90,43.72069434262812137603759765625,-79.352119378745555877685546875
192,2020-05-03T17:55:50.000Z,-1.7999999523162842,1470.31005859375,134,2.369999885559082,92,43.7206354178488254547119140625,-79.35210336931049823760986328125
193,2020-05-03T17:55:55.000Z,-1.2000000476837158,1483.8900146484375,133,2.4539999961853027,91,43.7204899080097675323486328125,-79.3520447798073291778564453125
194,2020-05-03T17:56:03.000Z,-0.6000000238418579,1505.31005859375,132,2.5290000438690186,89,43.72042377479374408721923828125,-79.352055005729198455810546875
195,2020-05-03T17:56:12.000Z,-1.2000000476837158,1525.489990234375,134,2.4630000591278076,90,43.72023400850594043731689453125,-79.35214846394956111907958984375
196,2020-05-03T17:56:21.000Z,-1.2000000476837158,1547.030029296875,135,2.4070000648498535,91,43.720212467014789581298828125,-79.352160282433032989501953125
197,2020-05-03T17:56:26.000Z,-1.2000000476837158,1558.22998046875,138,2.3889999389648438,95,43.72013904154300689697265625,-79.3521879427134990692138671875
198,2020-05-03T17:56:35.000Z,-1.2000000476837158,1580.0400390625,139,2.3889999389648438,91,43.71996377594769001007080078125,-79.3522985838353633880615234375
199,2020-05-03T17:56:40.000Z,-1.2000000476837158,1592.8800048828125,136,2.4630000591278076,92,43.7198377959430217742919921875,-79.35239531099796295166015625
200,2020-05-03T17:56:48.000Z,-1.399999976158142,1613.760009765625,135,2.5190000534057617,94,43.7196751870214939117431640625,-79.35243562795221805572509765625
