I,time,atemp,cad,hr,lat,lon
120,2020-05-21T01:17:12.000Z,20.0,93,144,43.72082711197435855865478515625,-79.35399684123694896697998046875
121,2020-05-21T01:17:21.000Z,20.0,91,145,43.72087522409856319427490234375,-79.353926181793212890625
122,2020-05-21T01:17:24.000Z,20.0,94,142,43.7209819257259368896484375,-79.35379014350473880767822265625
123,2020-05-21T01:17:29.000Z,20.0,93,140,43.72101570479571819305419921875,-79.35372040607035160064697265625
124,2020-05-21T01:17:32.000Z,20.0,94,139,43.72107286937534809112548828125,-79.35355444438755512237548828125
125,2020-05-21T01:17:38.000Z,20.0,90,135,43.7211535871028900146484375,-79.3534106947481632232666015625
126,2020-05-21T01:17:43.000Z,20.0,93,132,43.721219636499881744384765625,-79.35315798036754131317138671875
127,2020-05-21T01:17:51.000Z,20.0,91,134,43.72122189961373805999755859375,-79.35299771837890148162841796875
128,2020-05-21T01:17:56.000Z,20.0,92,137,43.72125081717967987060546875,-79.35294323600828647613525390625
129,2020-05-21T01:17:59.000Z,20.0,93,137,43.72123899869620800018310546875,-79.35291205532848834991455078125
130,2020-05-21T01:18:01.000Z,20.0,91,136,43.72117571532726287841796875,-79.35268557630479335784912109375
131,2020-05-21T01:18:08.000Z,20.0,90,136,43.72106146998703479766845703125,-79.35249044559895992279052734375
132,2020-05-21T01:18:16.000Z,20.0,93,137,43.72091880999505519866943359375,-79.35226849280297756195068359375
133,2020-05-21T01:18:26.000Z,20.0,87,140,43.7207539379596710205078125,-79.35212600044906139373779296875
134,2020-05-21T01:18:32.000Z,20.0,96,139,43.72057481668889522552490234375,-79.352076463401317596435546875
135,2020-05-21T01:18:39.000Z,20.0,96,139,43.72039494104683399200439453125,-79.35212440788745880126953125
136,2020-05-21T01:18:46.000Z,19.0,94,139,43.72021657414734363555908203125,-79.3522207997739315032958984375
137,2020-05-21T01:18:53.000Z,19.0,92,140,43.72002177871763706207275390625,-79.35231082141399383544921875
138,2020-05-21T01:19:01.000Z,19.0,92,139,43.71995933353900909423828125,-79.35236991383135318756103515625
139,2020-05-21T01:19:04.000Z,19.0,93,142,43.71984022669494152069091796875,-79.35244484804570674896240234375
140,2020-05-21T01:19:10.000Z,19.0,95,143,43.71970242820680141448974609375,-79.35251927934587001800537109375
141,2020-05-21T01:19:17.000Z,19.0,93,140,43.71950394473969936370849609375,-79.35256563127040863037109375
142,2020-05-21T01:19:25.000Z,19.0,90,141,43.71932591311633586883544921875,-79.35268859378993511199951171875
143,2020-05-21T01:19:33.000Z,19.0,91,139,43.71915123425424098968505859375,-79.35275866650044918060302734375
